"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2013","305.07","299.21","305.82","298.85","-","1.92%"
"Jan 20, 2013","299.31","301.42","302.09","299.08","-","-0.63%"
"Jan 13, 2013","301.20","297.81","301.21","296.53","-","1.53%"
"Jan 06, 2013","296.66","293.91","296.92","293.45","-","0.86%"
"Dec 30, 2012","294.13","293.56","298.45","292.93","-","-0.22%"
"Dec 23, 2012","294.78","293.38","296.57","292.76","-","0.22%"
"Dec 16, 2012","294.13","295.10","296.54","292.48","-","-0.26%"
"Dec 09, 2012","294.89","295.25","296.26","292.52","-","0.06%"
"Dec 02, 2012","294.70","299.87","301.58","294.67","-","-1.43%"
"Nov 25, 2012","298.98","297.82","299.89","294.28","-","-0.03%"
"Nov 18, 2012","299.07","295.69","299.39","295.58","-","1.88%"
"Nov 11, 2012","293.56","292.59","294.79","290.86","-","0.46%"
"Nov 04, 2012","292.22","292.10","297.39","290.02","-","-0.02%"
"Oct 28, 2012","292.29","296.35","297.87","292.27","-","-1.53%"
"Oct 21, 2012","296.84","306.83","306.95","296.01","-","-3.01%"
"Oct 14, 2012","306.05","306.10","310.06","302.46","-","-0.16%"
"Oct 07, 2012","306.55","305.70","309.98","305.39","-","-0.35%"
"Sep 30, 2012","307.62","309.40","312.17","306.15","-","-0.54%"
"Sep 23, 2012","309.30","306.53","309.65","302.45","-","0.10%"
"Sep 16, 2012","308.98","320.25","320.55","306.54","-","-3.72%"
"Sep 09, 2012","320.93","311.45","321.36","311.17","-","2.97%"
"Sep 02, 2012","311.67","310.52","312.07","307.62","-","0.67%"
"Aug 26, 2012","309.59","308.22","309.88","305.64","-","1.16%"
"Aug 19, 2012","306.04","303.77","309.17","302.69","-","0.84%"
"Aug 12, 2012","303.48","302.65","303.95","299.00","-","0.55%"
"Aug 05, 2012","301.81","300.00","306.54","299.65","-","0.37%"
"Jul 29, 2012","300.69","299.88","302.83","294.48","-","0.36%"
"Jul 22, 2012","299.60","299.55","300.64","294.53","-","-1.63%"
"Jul 15, 2012","304.57","293.71","305.04","292.69","-","3.61%"
"Jul 08, 2012","293.96","287.49","294.19","286.93","-","2.45%"
"Jul 01, 2012","286.92","282.74","294.82","281.65","-","0.96%"
"Jun 24, 2012","284.19","267.95","284.33","267.32","-","6.05%"
"Jun 17, 2012","267.97","271.34","277.75","266.78","-","-1.56%"
"Jun 10, 2012","272.23","274.17","274.71","269.04","-","-0.24%"
"Jun 03, 2012","272.88","267.10","276.54","266.99","-","1.70%"
"May 27, 2012","268.31","282.48","284.32","267.49","-","-4.84%"
"May 20, 2012","281.95","290.48","291.08","280.35","-","-2.92%"
"May 13, 2012","290.43","289.30","291.48","287.71","-","-0.47%"
"May 06, 2012","291.80","296.80","297.70","291.55","-","-1.80%"
"Apr 29, 2012","297.15","304.36","308.25","295.91","-","-2.74%"
"Apr 22, 2012","305.51","299.77","305.68","298.22","-","1.43%"
"Apr 15, 2012","301.19","301.62","303.11","298.35","-","-0.55%"
"Apr 08, 2012","302.85","304.91","305.75","300.34","-","-1.18%"
"Apr 01, 2012","306.48","307.87","312.43","304.57","-","-0.64%"
"Mar 25, 2012","308.46","314.55","316.25","305.38","-","-1.91%"
"Mar 18, 2012","314.47","317.68","319.75","311.51","-","-1.09%"
"Mar 11, 2012","317.93","315.55","318.27","314.12","-","0.10%"
"Mar 04, 2012","317.61","321.06","321.40","313.00","-","-1.11%"
"Feb 26, 2012","321.17","325.04","325.95","319.03","-","-1.45%"
"Feb 19, 2012","325.91","319.02","326.02","318.69","-","2.68%"
"Feb 12, 2012","317.39","313.63","317.78","312.52","-","1.68%"
"Feb 05, 2012","312.14","313.27","317.55","311.40","-","-0.66%"
"Jan 29, 2012","314.22","316.15","316.53","309.37","-","-0.99%"
"Jan 22, 2012","317.35","311.54","319.35","311.10","-","2.40%"
"Jan 15, 2012","309.91","310.40","312.47","308.72","-","0.72%"
"Jan 08, 2012","307.70","309.04","316.13","306.83","-","-0.58%"
"Jan 01, 2012","309.48","309.10","314.35","307.67","-","1.37%"
"Dec 25, 2011","305.30","306.08","309.37","302.93","-","-0.25%"
"Dec 18, 2011","306.08","294.77","306.62","294.70","-","3.76%"
"Dec 11, 2011","295.00","303.78","307.08","293.50","-","-3.73%"
"Dec 04, 2011","306.43","314.47","315.99","305.15","-","-2.27%"
"Nov 27, 2011","313.55","310.36","316.10","306.82","-","2.65%"
"Nov 20, 2011","305.45","310.23","311.43","304.94","-","-2.17%"
"Nov 13, 2011","312.21","319.37","322.66","310.65","-","-2.50%"
"Nov 06, 2011","320.20","321.24","323.11","317.57","-","-0.07%"
"Oct 30, 2011","320.44","321.02","321.55","312.05","-","-0.81%"
"Oct 23, 2011","323.07","312.91","324.99","312.72","-","3.85%"
"Oct 16, 2011","311.08","317.45","317.50","305.17","-","-1.92%"
"Oct 09, 2011","317.18","306.46","317.39","305.58","-","4.50%"
