Date,CloseIBOV,CloseDJI,Price,ICB,CarWash
2011-11-10,57322.0,11893.860352,1.7614,21685.841718401003,0
2011-11-11,58547.0,12153.679688,1.7424,21675.581571190236,0
2011-11-14,58258.0,12078.980469,1.7671,21700.763565136105,0
2011-11-16,58560.0,11905.589844,1.7697,21701.590621333908,0
2011-11-17,56989.0,11770.730469,1.7785,21449.147468733703,0
2011-11-18,56731.0,11796.160156,1.786,21423.694846748484,0
2011-11-21,56285.0,11547.30957,1.8081,21452.197596722483,0
2011-11-22,55878.0,11493.719727,1.8184,21462.754122672875,0
2011-11-23,54972.0,11257.549805,1.8672,21451.664657008976,0
2011-11-25,54894.0,11231.650391,1.892,21338.462744486547,0
2011-11-28,56017.0,11523.009766,1.8542,21086.33227304621,0
2011-11-29,55300.0,11555.629883,1.845,21064.04838064437,0
2011-11-30,56875.0,12045.679688,1.8083,21313.898944669403,0
2011-12-01,58143.0,12020.030273,1.8,21248.75099622376,0
2011-12-02,57886.0,12019.419922,1.7912,21004.354844982474,0
2011-12-05,58910.0,12097.830078,1.7857,21063.375232651117,0
2011-12-06,59536.0,12150.129883,1.7915,21052.395722407913,0
2011-12-07,58663.0,12196.370117,1.7992,20837.991209787113,0
2011-12-08,57455.0,11997.700195,1.822,20752.04596791152,0
2011-12-09,58236.0,12184.259766,1.7979,20688.57095277579,0
2011-12-12,57347.0,12021.389648,1.8439,20616.88361045926,0
2011-12-13,57495.0,11954.94043,1.8647,20556.493790035176,0
2011-12-14,56647.0,11823.480469,1.8798,20348.085880391154,0
2011-12-15,56331.0,11868.80957,1.8602,20119.618099466075,0
2011-12-16,56097.0,11866.389648,1.852,19944.780940517732,0
2011-12-19,55298.0,11766.259766,1.8687,20127.628944785694,0
2011-12-20,56865.0,12103.580078,1.845,20329.67010638567,0
2011-12-21,56653.0,12107.740234,1.8607,20342.65177771295,0
2011-12-22,57348.0,12169.650391,1.8562,20371.449864102535,0
2011-12-23,57701.0,12294.0,1.8567,20334.06335677863,0
2011-12-27,58005.0,12291.349609,1.8613,20552.390011585907,0
2011-12-28,56534.0,12151.410156,1.874,20718.827753153044,0
2011-12-29,56754.0,12287.040039,1.8657,20585.071879816995,0
2012-01-03,59265.0,12397.379883,1.8304,19686.410781933995,0
2012-01-04,59365.0,12418.419922,1.8323,19635.70316001601,0
2012-01-05,58546.0,12415.700195,1.8437,19368.591612539727,0
2012-01-06,58600.0,12359.919922,1.8579,19512.055789902173,0
2012-01-09,59083.0,12392.69043,1.8329,19459.765639695273,0
2012-01-10,59806.0,12462.469727,1.7995,19410.131285219166,0
2012-01-11,59962.0,12449.450195,1.803,19627.73596065419,0
2012-01-12,59921.0,12471.019531,1.778,19382.526227717277,0
2012-01-13,59147.0,12422.05957,1.7849,19282.432734122278,0
2012-01-17,60646.0,12482.070313,1.788,19322.34718106277,0
2012-01-18,61723.0,12578.950195,1.7649,19179.294005647167,0
2012-01-19,61927.0,12623.980469,1.7655,19180.36147228011,0
2012-01-20,62312.0,12720.480469,1.7548,19127.29338952235,0
2012-01-23,62386.0,12708.820313,1.7552,18967.24633412515,0
2012-01-24,62486.0,12675.75,1.7585,19038.256909674885,0
2012-01-26,62953.0,12734.629883,1.7505,18853.43042909829,0
2012-01-27,62904.0,12660.459961,1.7374,18750.7716546369,0
2012-01-30,62770.0,12653.719727,1.75,18744.898812070664,0
2012-01-31,63072.0,12632.910156,1.7472,18688.62161785995,0
2012-02-01,64567.0,12716.459961,1.7342,18541.469914482164,0
2012-02-02,64593.0,12705.410156,1.7195,18479.23731962401,0
2012-02-03,65217.0,12862.230469,1.7161,18500.13291493635,0
