"Date","Price","Open","High","Low","Change %"
"Aug 03, 2011","1.5621","1.5660","1.5696","1.5590","-0.25%"
"Aug 02, 2011","1.5660","1.5666","1.5753","1.5605","-0.04%"
"Aug 01, 2011","1.5666","1.5501","1.5668","1.5450","1.14%"
"Jul 29, 2011","1.5490","1.5670","1.5735","1.5465","-1.15%"
"Jul 28, 2011","1.5670","1.5558","1.5710","1.5532","0.75%"
"Jul 27, 2011","1.5553","1.5386","1.5720","1.5386","1.11%"
"Jul 26, 2011","1.5383","1.5413","1.5420","1.5280","-0.12%"
"Jul 25, 2011","1.5402","1.5537","1.5558","1.5358","-0.77%"
"Jul 22, 2011","1.5522","1.5528","1.5597","1.5507","-0.03%"
"Jul 21, 2011","1.5527","1.5655","1.5658","1.5510","-0.81%"
"Jul 20, 2011","1.5654","1.5669","1.5687","1.5568","-0.06%"
"Jul 19, 2011","1.5663","1.5774","1.5799","1.5619","-0.68%"
"Jul 18, 2011","1.5771","1.5743","1.5846","1.5730","0.16%"
"Jul 15, 2011","1.5746","1.5760","1.5796","1.5715","-0.15%"
"Jul 14, 2011","1.5770","1.5750","1.5800","1.5686","0.32%"
"Jul 13, 2011","1.5719","1.5820","1.5839","1.5674","-0.48%"
"Jul 12, 2011","1.5795","1.5780","1.5854","1.5721","-0.05%"
"Jul 11, 2011","1.5803","1.5621","1.5856","1.5621","0.95%"
"Jul 08, 2011","1.5654","1.5521","1.5677","1.5521","0.65%"
"Jul 07, 2011","1.5553","1.5697","1.5708","1.5527","-0.89%"
"Jul 06, 2011","1.5692","1.5653","1.5735","1.5615","0.25%"
"Jul 05, 2011","1.5653","1.5527","1.5670","1.5517","0.81%"
"Jul 04, 2011","1.5527","1.5563","1.5597","1.5513","-0.30%"
"Jul 01, 2011","1.5573","1.5621","1.5648","1.5528","-0.31%"
"Jun 30, 2011","1.5622","1.5666","1.5688","1.5573","-0.33%"
"Jun 29, 2011","1.5674","1.5752","1.5793","1.5665","-0.56%"
"Jun 28, 2011","1.5762","1.5940","1.5953","1.5748","-1.12%"
"Jun 27, 2011","1.5940","1.6034","1.6045","1.5935","-0.65%"
"Jun 24, 2011","1.6044","1.5958","1.6073","1.5900","0.82%"
"Jun 23, 2011","1.5913","1.5907","1.5916","1.5907","-0.01%"
"Jun 22, 2011","1.5914","1.5865","1.5914","1.5840","0.31%"
"Jun 21, 2011","1.5865","1.5963","1.5986","1.5850","-0.61%"
"Jun 20, 2011","1.5962","1.5967","1.6082","1.5916","-0.11%"
"Jun 17, 2011","1.5980","1.6024","1.6024","1.5940","-0.27%"
"Jun 16, 2011","1.6024","1.6002","1.6163","1.5983","0.14%"
"Jun 15, 2011","1.6002","1.5818","1.6056","1.5818","1.10%"
"Jun 14, 2011","1.5828","1.5832","1.5873","1.5790","-0.03%"
"Jun 13, 2011","1.5832","1.5963","1.5983","1.5825","-0.82%"
"Jun 10, 2011","1.5963","1.5829","1.6010","1.5819","0.85%"
"Jun 09, 2011","1.5829","1.5802","1.5907","1.5775","0.11%"
"Jun 08, 2011","1.5812","1.5808","1.5875","1.5775","0.03%"
"Jun 07, 2011","1.5808","1.5831","1.5847","1.5736","-0.21%"
"Jun 06, 2011","1.5841","1.5750","1.5853","1.5743","0.51%"
"Jun 03, 2011","1.5760","1.5754","1.5848","1.5703","0.04%"
"Jun 02, 2011","1.5754","1.5933","1.5936","1.5744","-1.12%"
"Jun 01, 2011","1.5933","1.5788","1.5950","1.5750","0.84%"
"May 31, 2011","1.5800","1.5946","1.5958","1.5757","-0.54%"
"May 30, 2011","1.5885","1.5945","1.5974","1.5855","-0.38%"
"May 27, 2011","1.5945","1.6158","1.6178","1.5932","-1.32%"
"May 26, 2011","1.6158","1.6289","1.6308","1.6110","-0.80%"
"May 25, 2011","1.6289","1.6244","1.6320","1.6230","0.30%"
"May 24, 2011","1.6240","1.6336","1.6336","1.6201","-0.58%"
"May 23, 2011","1.6335","1.6215","1.6403","1.6210","0.68%"
"May 20, 2011","1.6225","1.6165","1.6258","1.6100","0.37%"
"May 19, 2011","1.6165","1.6093","1.6205","1.6050","0.45%"
"May 18, 2011","1.6093","1.6159","1.6211","1.6075","-0.41%"
"May 17, 2011","1.6159","1.6346","1.6392","1.6133","-1.14%"
"May 16, 2011","1.6346","1.6359","1.6391","1.6243","-0.09%"
"May 13, 2011","1.6361","1.6195","1.6457","1.6115","1.02%"
"May 12, 2011","1.6196","1.6209","1.6301","1.6140","-0.08%"
"May 11, 2011","1.6209","1.6032","1.6255","1.6025","1.07%"
"May 10, 2011","1.6037","1.6139","1.6155","1.6020","-0.60%"
"May 09, 2011","1.6134","1.6155","1.6296","1.6078","-0.12%"
"May 06, 2011","1.6153","1.6212","1.6233","1.6010","-0.38%"
"May 05, 2011","1.6215","1.6156","1.6289","1.6102","0.35%"
"May 04, 2011","1.6158","1.5886","1.6179","1.5808","1.73%"
"May 03, 2011","1.5883","1.5887","1.5970","1.5815","-0.03%"
"May 02, 2011","1.5888","1.5770","1.5911","1.5686","0.72%"
"Apr 29, 2011","1.5775","1.5750","1.5825","1.5665","-0.27%"
"Apr 28, 2011","1.5817","1.5653","1.5954","1.5637","0.94%"
"Apr 27, 2011","1.5669","1.5619","1.5735","1.5560","0.32%"
"Apr 26, 2011","1.5619","1.5680","1.5688","1.5610","-0.42%"
"Apr 25, 2011","1.5685","1.5620","1.5783","1.5610","0.29%"
"Apr 22, 2011","1.5640","1.5640","1.5640","1.5640","0.00%"
"Apr 21, 2011","1.5640","1.5668","1.5672","1.5639","-0.15%"
"Apr 20, 2011","1.5664","1.5627","1.5840","1.5612","-0.58%"
"Apr 19, 2011","1.5755","1.5882","1.5882","1.5728","-0.80%"
"Apr 18, 2011","1.5882","1.5762","1.5995","1.5762","0.79%"
"Apr 15, 2011","1.5758","1.5783","1.5825","1.5711","-0.13%"
"Apr 14, 2011","1.5778","1.5862","1.5915","1.5766","-0.53%"
"Apr 13, 2011","1.5862","1.5947","1.5966","1.5799","-0.61%"
"Apr 12, 2011","1.5960","1.5796","1.5965","1.5750","0.83%"
"Apr 11, 2011","1.5829","1.5689","1.5846","1.5689","0.89%"
"Apr 08, 2011","1.5689","1.5842","1.5861","1.5669","-1.08%"
"Apr 07, 2011","1.5860","1.6149","1.6149","1.5814","-1.79%"
"Apr 06, 2011","1.6149","1.6082","1.6172","1.6005","0.42%"
"Apr 05, 2011","1.6082","1.6067","1.6134","1.6054","0.06%"
"Apr 04, 2011","1.6072","1.6203","1.6208","1.6040","-1.25%"
"Apr 01, 2011","1.6275","1.6311","1.6311","1.6054","-0.28%"
"Mar 31, 2011","1.6320","1.6287","1.6345","1.6205","0.22%"
"Mar 30, 2011","1.6284","1.6465","1.6482","1.6256","-1.07%"
"Mar 29, 2011","1.6460","1.6629","1.6649","1.6460","-1.02%"
"Mar 28, 2011","1.6629","1.6582","1.6652","1.6582","0.08%"
"Mar 25, 2011","1.6615","1.6603","1.6628","1.6550","0.13%"
